X,Y,Theta
167,67,2.09441
175,42,2.09441
163,41,-1.04719
4,35,-2.09439
146,47,-3.14159
3,26,2.09441
115,25,-3.14159
171,59,-2.09439
38,43,-2.09439
16,50,-3.14159
83,54,3.14159
4,30,-1.04719
172,36,2.09441
2,42,2.09441
38,40,9.81064e-06
167,45,9.81064e-06
103,62,-3.14159
176,74,-1.04719
102,39,-1.04719
134,74,2.09441
102,8,9.81064e-06
116,45,3.14159
105,0,-1.04719
37,15,2.09441
49,79,-3.14159
63,53,-3.14159
82,32,3.14159
92,7,-1.04719
131,36,3.14159
32,16,-2.09439
85,83,-2.09439
50,16,-2.09439
12,70,9.81064e-06
44,15,-2.09439
101,33,1.04721
133,64,3.14159
91,38,-1.04719
66,43,-1.04719
21,48,-3.14159
2,16,1.04721
10,73,1.04721
156,42,9.81064e-06
37,45,-1.04719
87,16,2.09441
115,2,2.09441
44,84,-3.14159
103,2,-3.14159
157,70,-3.14159
63,82,-2.09439
165,71,1.04721
51,78,1.04721
43,31,9.81064e-06
155,29,-1.04719
105,89,3.14159
48,65,-2.09439
86,79,-2.09439
98,47,-2.09439
178,8,3.14159
76,84,1.04721
169,75,-2.09439
24,36,-2.09439
177,28,1.04721
83,68,-1.04719
132,18,2.09441
2,67,2.09441
96,2,9.81064e-06
178,6,-2.09439
166,63,1.04721
152,9,-1.04719
164,42,2.09441
32,2,9.81064e-06
9,48,2.09441
179,78,9.81064e-06
127,67,3.14159
160,52,2.09441
130,86,9.81064e-06
13,57,-1.04719
116,24,-3.14159
87,6,1.04721
121,16,9.81064e-06
22,44,-1.04719
122,73,3.14159
14,64,-3.14159
161,70,2.09441
3,39,3.14159
178,43,9.81064e-06
35,88,-2.09439
155,75,-3.14159
65,18,9.81064e-06
122,74,-1.04719
79,62,-2.09439
71,59,1.04721
38,58,1.04721
172,49,-3.14159
92,61,3.14159
132,57,-3.14159
4,62,9.81064e-06
54,1,-1.04719
38,18,-2.09439
158,21,-2.09439
149,61,-3.14159
133,80,-3.14159
18,48,-1.04719
171,25,1.04721
70,56,9.81064e-06
73,63,-2.09439
0,59,3.14159
88,73,-1.04719
8,36,-3.14159
78,15,-1.04719
176,30,9.81064e-06
61,5,9.81064e-06
107,44,-1.04719
2,42,-2.09439
4,32,1.04721
19,84,3.14159
173,50,1.04721
122,18,-3.14159
60,0,2.09441
129,88,1.04721
47,59,2.09441
89,9,-2.09439
8,15,9.81064e-06
27,55,-3.14159
26,26,1.04721
63,53,1.04721
62,10,-3.14159
99,17,1.04721
123,21,-3.14159
109,33,9.81064e-06
11,43,-1.04719
7,86,1.04721
19,0,-3.14159
127,3,-1.04719
1,18,1.04721
1,72,1.04721
104,86,-2.09439
30,52,-3.14159
111,79,-3.14159
49,60,-2.09439
176,58,2.09441
37,26,1.04721
118,0,-1.04719
46,86,-3.14159
131,23,-1.04719
44,88,2.09441
33,34,-1.04719
72,51,-3.14159
30,4,-1.04719
117,78,2.09441
65,88,-3.14159
40,60,3.14159
175,51,-3.14159
100,51,9.81064e-06
13,34,9.81064e-06
46,78,-1.04719
78,21,-3.14159
66,70,3.14159
37,8,-3.14159
84,82,2.09441
54,11,-2.09439
14,33,-2.09439
11,85,-1.04719
47,72,1.04721
124,64,9.81064e-06
146,33,2.09441
49,52,-2.09439
38,26,-1.04719
46,28,3.14159
21,54,-2.09439
129,69,1.04721
130,19,9.81064e-06
14,20,1.04721
174,54,3.14159
166,24,-2.09439
41,86,1.04721
174,32,-3.14159
20,11,-1.04719
139,86,9.81064e-06
104,60,9.81064e-06
68,6,2.09441
12,34,-3.14159
107,23,1.04721
43,60,-3.14159
37,85,1.04721
100,84,3.14159
29,85,3.14159
5,61,9.81064e-06
33,66,-3.14159
98,71,-1.04719
145,75,2.09441
82,8,-2.09439
10,37,2.09441
16,42,1.04721
72,4,2.09441
177,84,-1.04719
72,21,9.81064e-06
16,49,3.14159
162,56,-1.04719
31,51,3.14159
172,17,1.04721
138,49,2.09441
73,55,-1.04719
40,82,-2.09439
159,89,1.04721
85,68,-2.09439
171,39,1.04721
168,52,1.04721
134,48,1.04721
18,14,2.09441
112,85,3.14159
89,32,3.14159
72,71,-1.04719
44,41,2.09441
163,15,1.04721
29,75,1.04721
141,74,-2.09439
12,48,1.04721
34,25,3.14159
132,61,-2.09439
101,88,2.09441
159,43,2.09441
173,47,-2.09439
0,40,9.81064e-06
114,60,9.81064e-06
73,83,-3.14159
84,84,2.09441
98,75,-1.04719
168,20,-3.14159
66,20,-2.09439
97,14,1.04721
2,73,-2.09439
65,2,-2.09439
27,71,-2.09439
54,88,-2.09439
82,51,9.81064e-06
90,1,1.04721
35,23,3.14159
44,13,3.14159
109,44,9.81064e-06
135,64,9.81064e-06
119,17,2.09441
173,52,-2.09439
16,54,-2.09439
38,3,-1.04719
19,83,-2.09439
177,35,-1.04719
69,82,-3.14159
174,33,-2.09439
76,88,-2.09439
163,38,1.04721
98,28,-3.14159
90,59,9.81064e-06
168,61,2.09441
169,79,2.09441
69,55,9.81064e-06
145,38,9.81064e-06
66,66,9.81064e-06
32,19,1.04721
134,30,2.09441
20,72,-1.04719
45,50,-2.09439
11,19,-2.09439
122,68,-1.04719
71,70,-1.04719
88,26,3.14159
22,3,-1.04719
172,15,9.81064e-06
44,60,9.81064e-06
21,45,9.81064e-06
38,35,9.81064e-06
62,13,9.81064e-06
80,21,-3.14159
169,48,1.04721
122,34,-1.04719
80,84,1.04721
156,60,3.14159
57,25,-1.04719
84,40,-1.04719
147,15,-3.14159
160,39,-3.14159
162,79,-1.04719
66,9,3.14159
27,85,-3.14159
98,20,-3.14159
135,41,-2.09439
45,38,-1.04719
60,72,-2.09439
127,49,3.14159
104,47,-1.04719
178,51,3.14159
60,15,2.09441
167,30,1.04721
47,49,-3.14159
82,86,3.14159
146,81,9.81064e-06
172,14,9.81064e-06
58,84,2.09441
11,13,-3.14159
80,0,-3.14159
105,5,9.81064e-06
139,9,9.81064e-06
62,82,-2.09439
84,56,9.81064e-06
11,52,-2.09439
166,62,-1.04719
17,58,2.09441
144,75,-2.09439
153,80,-1.04719
82,26,-1.04719
43,57,-2.09439
4,73,-1.04719
164,36,1.04721
37,24,9.81064e-06
161,15,-3.14159
139,82,1.04721
15,45,3.14159
174,26,3.14159
126,55,-3.14159
32,49,-1.04719
155,74,9.81064e-06
14,58,-2.09439
48,18,1.04721
109,54,3.14159
107,19,-3.14159
40,56,2.09441
57,52,3.14159
77,84,2.09441
115,63,1.04721
25,34,-1.04719
139,66,2.09441
123,2,9.81064e-06
66,56,-3.14159
79,49,-3.14159
16,64,2.09441
104,84,9.81064e-06
83,69,-3.14159
83,16,-3.14159
90,51,-1.04719
141,56,9.81064e-06
104,88,1.04721
160,79,2.09441
1,61,2.09441
2,19,3.14159
12,56,3.14159
101,64,2.09441
26,43,3.14159
137,65,-3.14159
59,51,-1.04719
18,24,-3.14159
144,39,-3.14159
176,7,-3.14159
136,27,-3.14159
57,34,9.81064e-06
93,4,9.81064e-06
175,84,1.04721
102,0,2.09441
112,60,1.04721
38,20,3.14159
72,39,1.04721
120,53,-3.14159
5,76,2.09441
156,3,-2.09439
107,49,3.14159
55,40,2.09441
67,62,9.81064e-06
37,54,9.81064e-06
8,29,3.14159
134,17,3.14159
91,2,-3.14159
142,35,1.04721
37,41,-1.04719
21,75,-1.04719
33,78,1.04721
137,25,1.04721
88,45,3.14159
42,50,1.04721
141,67,-2.09439
119,71,3.14159
63,57,1.04721
84,46,-1.04719
47,45,3.14159
176,88,3.14159
117,13,-2.09439
167,71,-3.14159
151,44,9.81064e-06
85,57,3.14159
77,16,1.04721
157,54,-3.14159
153,31,1.04721
116,80,-1.04719
54,58,-3.14159
144,79,1.04721
109,71,3.14159
56,14,9.81064e-06
31,25,-1.04719
167,83,-1.04719
82,14,-2.09439
171,80,1.04721
94,81,-2.09439
127,3,9.81064e-06
89,28,-2.09439
77,10,1.04721
122,58,3.14159
115,82,1.04721
153,54,-2.09439
105,68,1.04721
89,78,2.09441
165,56,-3.14159
24,60,-2.09439
156,56,-2.09439
82,86,-3.14159
13,51,-1.04719
146,88,-1.04719
3,32,9.81064e-06
16,4,2.09441
171,69,3.14159
163,36,3.14159
166,72,2.09441
12,81,3.14159
133,65,-2.09439
176,32,-3.14159
85,38,2.09441
122,71,-2.09439
160,41,1.04721
137,29,2.09441
115,51,-3.14159
17,66,1.04721
125,23,3.14159
112,29,-3.14159
29,75,-2.09439
117,23,-3.14159
156,79,-2.09439
8,89,1.04721
15,16,9.81064e-06
8,12,3.14159
135,89,2.09441
55,62,-2.09439
92,61,2.09441
31,67,-1.04719
91,9,-1.04719
61,73,9.81064e-06
128,29,9.81064e-06
49,10,9.81064e-06
77,61,9.81064e-06
5,18,1.04721
66,14,1.04721
73,79,9.81064e-06
113,40,-2.09439
138,37,2.09441
168,63,3.14159
96,20,3.14159
48,11,-2.09439
91,22,-3.14159
104,22,2.09441
73,44,-2.09439
154,28,-3.14159
29,36,3.14159
61,57,2.09441
16,30,-1.04719
8,27,2.09441
153,29,1.04721
28,22,2.09441
176,84,1.04721
57,19,-2.09439
10,42,1.04721
60,26,9.81064e-06
50,20,-1.04719
129,9,2.09441
158,16,1.04721
108,6,1.04721
57,22,3.14159
80,70,-2.09439
157,37,9.81064e-06
168,60,2.09441
101,61,-3.14159
27,34,-3.14159
44,31,3.14159
49,44,2.09441
153,49,1.04721
161,36,-1.04719
82,49,-2.09439
171,18,1.04721
160,85,-1.04719
40,15,9.81064e-06
128,20,9.81064e-06
78,32,-1.04719
61,2,1.04721
46,40,1.04721
118,54,9.81064e-06
101,35,2.09441
85,34,-1.04719
112,65,1.04721
6,45,-2.09439
107,18,-3.14159
81,42,1.04721
99,75,2.09441
5,81,1.04721
98,8,3.14159
8,72,3.14159
154,24,1.04721
73,2,-2.09439
8,76,2.09441
55,49,2.09441
49,88,-2.09439
17,81,-1.04719
78,82,-1.04719
63,56,3.14159
128,2,2.09441
164,75,-2.09439
127,57,2.09441
4,75,-1.04719
138,75,9.81064e-06
115,50,3.14159
63,33,3.14159
135,26,1.04721
8,11,2.09441
26,0,9.81064e-06
172,15,3.14159
3,22,2.09441
86,52,-3.14159
64,15,3.14159
134,34,1.04721
1,46,3.14159
122,62,-3.14159
71,41,2.09441
133,36,3.14159
165,68,2.09441
89,86,2.09441
137,9,-2.09439
11,38,9.81064e-06
56,18,-3.14159
174,23,-2.09439
162,29,-2.09439
110,84,-3.14159
130,36,-2.09439
80,70,3.14159
96,22,-3.14159
105,44,3.14159
154,36,3.14159
12,82,2.09441
139,75,2.09441
17,17,2.09441
66,6,-2.09439
178,37,-1.04719
122,5,3.14159
31,82,-3.14159
64,43,-2.09439
86,32,-3.14159
57,44,9.81064e-06
127,27,-1.04719
126,38,-1.04719
56,62,2.09441
101,55,9.81064e-06
133,53,-2.09439
116,31,2.09441
65,38,1.04721
82,63,-2.09439
50,49,1.04721
6,36,9.81064e-06
41,20,-3.14159
11,49,1.04721
160,32,-2.09439
154,27,1.04721
95,59,3.14159
67,37,-3.14159
93,60,-1.04719
43,71,-1.04719
150,58,3.14159
69,71,-2.09439
59,34,9.81064e-06
78,54,9.81064e-06
119,21,1.04721
12,88,-2.09439
132,68,9.81064e-06
55,51,-2.09439
139,88,1.04721
167,20,9.81064e-06
125,78,-2.09439
72,2,-1.04719
69,43,9.81064e-06
146,68,1.04721
119,74,1.04721
32,51,-1.04719
22,23,2.09441
48,9,3.14159
43,41,3.14159
15,68,-3.14159
105,33,3.14159
5,13,2.09441
70,45,3.14159
79,57,2.09441
65,12,-1.04719
79,67,1.04721
107,78,9.81064e-06
122,49,3.14159
51,85,-2.09439
149,65,-3.14159
101,1,9.81064e-06
174,51,-3.14159
45,44,2.09441
64,31,3.14159
85,33,3.14159
96,80,-2.09439
41,0,1.04721
151,12,-1.04719
73,12,-2.09439
110,43,2.09441
113,45,-1.04719
71,1,2.09441
168,79,-3.14159
104,78,1.04721
157,38,-2.09439
160,81,-3.14159
163,16,-2.09439
17,87,-3.14159
53,6,-2.09439
109,49,2.09441
11,89,-3.14159
170,46,2.09441
145,60,-1.04719
60,56,-1.04719
46,17,-3.14159
173,22,-3.14159
142,6,-1.04719
162,5,-1.04719
23,72,-2.09439
95,42,2.09441
141,6,2.09441
135,29,-1.04719
111,69,3.14159
40,55,1.04721
46,12,-3.14159
93,34,9.81064e-06
62,46,2.09441
140,15,1.04721
85,43,1.04721
156,13,9.81064e-06
179,40,9.81064e-06
41,37,-2.09439
74,37,2.09441
82,3,1.04721
165,27,9.81064e-06
158,71,3.14159
119,26,-1.04719
176,12,-1.04719
141,51,-2.09439
153,39,1.04721
34,85,2.09441
55,44,3.14159
42,66,9.81064e-06
78,28,2.09441
15,33,-3.14159
85,19,9.81064e-06
146,33,-3.14159
130,13,-3.14159
68,43,-1.04719
123,11,-2.09439
62,67,-3.14159
129,51,3.14159
170,73,-3.14159
57,29,-1.04719
119,55,-1.04719
46,41,9.81064e-06
40,38,3.14159
103,1,-2.09439
106,87,2.09441
79,42,3.14159
163,31,1.04721
118,10,-2.09439
53,59,1.04721
23,68,-2.09439
26,82,-1.04719
7,32,2.09441
24,18,-1.04719
132,75,-1.04719
64,39,-3.14159
137,36,-2.09439
141,61,-2.09439
61,4,-2.09439
55,22,-1.04719
94,57,3.14159
94,71,1.04721
46,80,-1.04719
109,69,3.14159
126,49,-3.14159
75,48,2.09441
133,24,3.14159
2,66,2.09441
20,36,-2.09439
63,72,1.04721
80,33,2.09441
173,41,-2.09439
130,71,-3.14159
45,33,-2.09439
81,71,3.14159
30,30,3.14159
132,59,3.14159
175,21,-3.14159
125,78,9.81064e-06
26,88,2.09441
76,61,1.04721
145,76,3.14159
61,65,9.81064e-06
130,11,1.04721
71,41,3.14159
137,79,9.81064e-06
21,29,-3.14159
77,66,9.81064e-06
163,80,9.81064e-06
169,18,9.81064e-06
158,2,-1.04719
167,87,1.04721
0,44,9.81064e-06
108,49,-1.04719
69,86,2.09441
34,44,-2.09439
111,56,3.14159
134,39,9.81064e-06
98,21,3.14159
31,36,3.14159
94,61,3.14159
178,34,-3.14159
44,65,3.14159
4,81,1.04721
81,55,1.04721
116,48,-2.09439
30,64,3.14159
129,82,9.81064e-06
74,62,1.04721
89,46,9.81064e-06
144,27,1.04721
17,80,-2.09439
129,4,-2.09439
77,14,-3.14159
55,55,2.09441
121,46,2.09441
56,6,-3.14159
27,37,1.04721
177,5,9.81064e-06
72,24,9.81064e-06
99,63,3.14159
50,56,-1.04719
113,50,-1.04719
80,24,2.09441
35,39,9.81064e-06
86,59,3.14159
94,71,3.14159
131,58,2.09441
133,13,9.81064e-06
28,6,9.81064e-06
146,57,-2.09439
167,78,-2.09439
73,14,3.14159
110,32,1.04721
108,11,9.81064e-06
37,56,3.14159
129,74,2.09441
17,22,3.14159
26,36,2.09441
27,28,-3.14159
18,40,9.81064e-06
31,29,9.81064e-06
45,55,-1.04719
109,26,2.09441
1,60,3.14159
87,4,-3.14159
163,30,-2.09439
140,57,1.04721
44,22,-1.04719
16,80,3.14159
172,59,2.09441
18,45,-1.04719
93,67,9.81064e-06
1,66,3.14159
37,64,9.81064e-06
80,52,-2.09439
117,33,2.09441
9,51,-3.14159
81,21,2.09441
132,26,-2.09439
40,85,1.04721
42,7,-1.04719
137,27,1.04721
178,59,2.09441
99,46,2.09441
171,72,3.14159
151,73,2.09441
49,9,3.14159
127,74,9.81064e-06
94,87,3.14159
121,31,-2.09439
129,63,2.09441
105,41,1.04721
61,18,-1.04719
16,17,-3.14159
178,24,2.09441
137,48,-1.04719
25,50,-3.14159
158,86,9.81064e-06
157,76,-1.04719
152,48,9.81064e-06
39,34,2.09441
137,52,9.81064e-06
150,25,-2.09439
17,10,9.81064e-06
133,35,9.81064e-06
170,72,-2.09439
83,26,3.14159
166,74,2.09441
137,89,-2.09439
47,39,-2.09439
125,10,9.81064e-06
29,72,9.81064e-06
62,42,-2.09439
110,18,2.09441
178,19,-3.14159
172,7,-3.14159
50,43,-3.14159
86,66,3.14159
47,65,3.14159
124,88,2.09441
179,4,3.14159
6,28,2.09441
163,66,3.14159
84,24,-3.14159
110,8,-2.09439
58,82,-1.04719
30,50,9.81064e-06
158,0,-3.14159
137,73,3.14159
102,65,3.14159
95,50,3.14159
112,8,9.81064e-06
61,55,-1.04719
32,85,-1.04719
132,55,-1.04719
38,43,1.04721
59,29,2.09441
120,14,1.04721
164,10,-1.04719
158,26,-3.14159
60,68,1.04721
116,49,2.09441
113,82,9.81064e-06
176,84,3.14159
21,4,2.09441
150,78,-3.14159
154,27,-3.14159
69,46,-3.14159
170,59,-3.14159
71,4,1.04721
131,59,9.81064e-06
20,32,-2.09439
9,40,3.14159
111,77,9.81064e-06
154,66,3.14159
127,65,3.14159
117,48,-3.14159
17,81,-3.14159
94,51,1.04721
57,52,-3.14159
141,58,3.14159
118,79,9.81064e-06
3,54,1.04721
78,62,3.14159
119,39,2.09441
32,26,-1.04719
33,37,1.04721
50,74,9.81064e-06
81,87,-1.04719
54,33,-1.04719
112,56,-2.09439
19,71,3.14159
6,76,3.14159
139,35,-2.09439
105,48,9.81064e-06
87,31,-3.14159
57,77,-1.04719
163,69,-3.14159
138,50,9.81064e-06
67,87,-2.09439
135,8,1.04721
160,76,3.14159
25,57,-2.09439
58,89,3.14159
137,5,-3.14159
49,47,-2.09439
146,68,-1.04719
26,7,1.04721
24,20,2.09441
177,3,2.09441
59,15,3.14159
40,26,9.81064e-06
16,14,-3.14159
12,66,3.14159
22,57,3.14159
43,67,-3.14159
49,53,1.04721
4,20,2.09441
61,53,-2.09439
70,61,3.14159
30,83,-1.04719
109,49,3.14159
54,48,1.04721
62,31,9.81064e-06
19,79,9.81064e-06
103,0,9.81064e-06
101,77,-2.09439
166,13,1.04721
152,75,1.04721
90,73,1.04721
7,87,-2.09439
80,80,1.04721
88,51,-2.09439
111,21,-1.04719
8,66,-1.04719
22,76,3.14159
114,79,3.14159
28,11,3.14159
170,78,-3.14159
79,72,-2.09439
64,2,-2.09439
98,69,2.09441
169,45,-1.04719
104,85,9.81064e-06
1,83,2.09441
115,74,3.14159
68,18,3.14159
70,32,2.09441
67,22,3.14159
88,85,9.81064e-06
48,56,1.04721
161,39,9.81064e-06
71,56,-1.04719
131,71,2.09441
171,48,9.81064e-06
152,42,2.09441
136,86,3.14159
120,2,2.09441
122,81,-3.14159
123,84,9.81064e-06
127,32,3.14159
31,54,2.09441
118,49,-1.04719
44,66,1.04721
61,77,-1.04719
49,73,-2.09439
44,68,3.14159
150,58,1.04721
51,87,3.14159
132,81,1.04721
125,60,1.04721
17,77,9.81064e-06
159,26,1.04721
166,79,3.14159
87,15,-2.09439
121,83,-2.09439
141,60,-2.09439
130,36,-3.14159
177,81,1.04721
97,77,3.14159
82,9,9.81064e-06
42,18,-3.14159
174,63,-3.14159
143,20,1.04721
94,10,1.04721
137,53,-3.14159
9,81,-2.09439
67,69,3.14159
23,66,-3.14159
138,76,-2.09439
113,32,-1.04719
132,76,-1.04719
14,67,2.09441
88,38,9.81064e-06
26,65,9.81064e-06
177,4,-2.09439
158,49,1.04721
54,21,2.09441
32,31,2.09441
160,74,-1.04719
155,85,3.14159
125,48,9.81064e-06
52,81,-3.14159
53,86,-3.14159
119,26,-2.09439
57,46,-1.04719
22,73,3.14159
96,64,-1.04719
139,26,3.14159
43,46,9.81064e-06
111,11,3.14159
58,30,9.81064e-06
148,60,9.81064e-06
118,49,3.14159
108,68,1.04721
118,77,-3.14159
5,24,9.81064e-06
21,55,-2.09439
173,43,-2.09439
1,53,-2.09439
132,48,3.14159
23,59,1.04721
86,2,-1.04719
156,80,1.04721
71,5,-3.14159
69,62,-2.09439
155,44,9.81064e-06
