X,Y
52,36
109,67
145,63
84,38
0,0
38,11
148,26
71,23
120,22
12,34
142,59
120,3
134,66
138,88
50,30
85,63
36,48
71,25
18,84
171,7
129,29
124,6
69,21
55,24
50,75
130,11
22,74
89,20
29,38
104,78
103,60
99,31
118,57
126,36
108,44
159,86
169,73
83,81
86,10
125,77
35,21
135,4
10,13
6,84
60,41
72,60
148,46
88,79
101,74
147,76
41,13
160,9
121,50
9,62
111,66
161,35
103,68
34,85
149,8
91,21
65,21
70,54
79,38
5,56
145,61
85,74
169,74
38,51
21,16
63,89
21,36
47,57
23,10
35,85
35,66
60,89
5,51
90,75
59,68
125,21
90,20
31,10
78,48
24,81
23,22
171,25
135,18
104,10
14,40
116,46
116,75
126,67
127,57
14,87
4,10
77,25
157,5
46,60
135,78
144,32
56,81
30,53
115,37
62,6
107,70
75,85
126,6
13,37
35,89
4,48
75,35
103,73
90,0
16,68
176,77
34,37
72,19
103,57
81,64
169,5
128,17
39,81
44,59
91,52
106,12
9,34
92,31
23,48
35,69
38,9
172,13
34,65
42,13
167,54
72,74
109,68
34,51
32,87
67,77
162,7
7,81
68,38
55,71
56,26
55,23
65,22
110,64
94,33
123,29
161,48
23,24
124,16
137,56
42,7
141,5
63,69
47,18
89,19
173,10
37,28
44,51
4,50
50,23
102,21
84,53
145,34
125,48
14,80
125,80
176,2
1,33
5,27
139,35
128,40
54,17
155,0
149,45
142,47
136,75
83,25
53,19
68,50
86,65
166,15
159,29
80,37
131,71
93,56
168,13
25,50
136,67
103,41
65,85
24,0
18,82
170,32
47,12
112,39
177,42
39,49
110,3
30,49
8,6
105,70
146,69
47,48
38,85
15,52
37,1
78,13
173,46
42,35
107,77
57,56
130,4
158,82
120,57
10,78
128,54
77,51
85,46
167,76
41,2
175,57
1,68
19,53
15,33
61,89
171,42
8,89
62,78
38,78
175,33
64,9
61,11
61,53
150,82
65,4
127,72
157,33
171,52
24,89
46,9
173,12
142,48
89,47
30,73
95,8
81,50
32,86
149,51
164,14
53,6
11,14
121,22
90,59
77,13
143,36
69,25
135,20
149,57
6,36
24,65
72,45
69,45
118,81
106,7
33,64
22,2
42,26
70,8
96,65
30,22
82,24
139,52
134,9
58,52
39,37
174,61
87,44
67,21
149,29
141,55
101,45
67,84
60,58
156,5
39,24
54,10
32,5
108,29
84,68
57,69
75,33
65,80
137,67
173,48
83,0
84,54
111,26
18,35
121,56
28,22
8,62
154,17
52,25
168,33
148,34
0,26
77,48
149,25
71,0
170,39
120,24
102,6
82,22
94,72
99,27
94,31
3,67
37,64
81,28
143,73
104,20
109,63
72,79
31,67
67,4
95,72
131,8
30,14
35,84
175,21
29,24
168,0
48,13
20,32
115,31
143,51
60,26
87,8
67,42
102,88
178,14
111,8
23,60
120,70
72,21
43,21
22,43
12,75
134,39
46,72
66,36
42,43
114,32
9,13
72,30
152,12
172,76
173,62
25,31
120,19
95,73
178,50
52,39
152,58
30,46
132,0
161,55
101,21
154,79
133,76
142,54
174,73
28,26
160,21
53,25
129,6
48,41
164,19
99,76
61,74
25,36
92,84
175,68
74,2
65,8
37,27
33,42
20,1
49,3
91,5
168,73
75,72
52,48
114,29
149,54
76,74
81,34
22,84
132,86
165,66
88,25
168,21
20,6
139,48
103,11
139,80
79,33
60,74
53,10
44,62
67,14
117,71
146,72
85,61
26,85
41,39
8,65
163,52
1,5
89,84
111,22
164,53
119,79
58,84
167,87
23,13
13,63
11,35
142,42
124,61
119,57
45,10
101,86
59,77
119,39
122,35
4,64
67,83
118,75
143,1
146,83
75,59
81,81
88,24
46,31
0,38
11,65
170,9
109,42
3,24
88,43
174,20
100,0
78,0
90,32
174,75
36,8
122,64
107,19
174,55
58,78
129,55
137,51
111,10
31,86
35,80
152,7
3,71
151,52
36,46
117,5
7,85
54,46
149,58
59,38
51,31
123,81
169,7
140,56
171,83
45,72
4,87
170,52
119,41
86,60
4,41
32,22
100,53
121,5
10,16
146,77
141,33
93,53
43,33
165,40
150,47
103,28
62,63
151,24
4,53
165,4
154,60
142,79
171,44
39,60
20,12
79,75
18,26
14,51
124,80
38,43
161,61
126,15
175,75
10,58
108,32
140,8
30,34
65,70
19,76
29,0
61,7
90,62
19,80
69,14
66,41
109,65
116,17
150,1
98,8
23,72
153,33
137,6
21,78
160,5
141,74
120,69
169,70
99,67
155,44
25,35
121,17
52,33
10,74
54,12
90,37
57,50
102,76
97,24
35,10
70,0
154,29
152,59
81,79
151,81
19,22
96,76
170,12
166,88
13,9
33,80
106,10
49,66
127,1
176,72
112,13
113,65
62,47
41,38
36,75
68,3
17,82
82,56
19,1
112,1
107,67
167,89
88,30
155,4
38,1
40,39
129,50
39,89
138,23
25,41
135,33
96,41
177,66
152,8
151,82
28,16
136,50
82,17
51,32
141,46
128,43
172,12
15,27
144,10
96,29
35,73
57,72
94,77
97,27
71,28
36,49
20,45
3,47
27,82
162,13
162,86
115,9
80,72
115,48
124,9
26,2
65,16
1,38
152,19
91,4
9,87
137,12
162,63
126,21
124,4
33,0
166,86
160,88
81,42
123,52
15,1
60,53
172,58
170,72
36,87
132,37
111,53
158,17
153,41
87,78
165,85
137,16
138,28
44,22
138,30
11,43
63,84
17,44
163,42
73,3
59,45
14,38
93,1
139,17
77,83
39,38
27,17
168,29
160,46
51,26
6,16
105,89
94,19
164,28
100,70
50,78
55,37
17,4
7,57
113,41
53,23
178,61
125,82
20,16
140,73
73,76
50,43
33,38
80,23
159,15
130,10
125,36
61,24
84,5
126,29
40,23
95,82
59,66
89,26
130,51
170,71
69,18
179,5
76,28
174,77
67,22
114,80
119,21
42,75
99,83
163,88
76,15
168,8
60,1
59,56
3,68
97,34
48,58
109,10
147,61
81,54
93,27
114,10
104,89
15,28
38,33
167,64
118,8
90,74
140,17
74,53
77,57
119,62
14,8
13,56
137,79
50,62
13,45
127,63
35,9
169,33
44,43
28,78
90,34
31,17
106,79
48,77
161,2
112,23
86,79
13,39
57,24
153,51
76,16
19,58
97,3
83,70
36,76
108,62
64,1
163,86
152,33
78,61
101,36
89,68
77,6
44,32
29,75
172,84
108,59
31,54
129,74
107,64
1,0
33,13
137,24
136,76
124,56
171,56
52,41
126,7
69,54
52,81
91,75
31,44
133,86
52,88
145,12
37,26
160,64
88,58
152,28
27,46
52,8
110,71
14,86
125,18
148,68
179,17
166,13
112,54
48,5
156,57
71,48
8,28
34,9
63,11
84,12
9,81
123,36
68,12
1,66
143,57
133,58
161,83
43,86
77,21
95,1
133,1
14,88
172,81
114,73
144,29
79,81
105,1
64,76
169,81
128,23
5,54
12,27
146,85
148,70
102,66
89,29
134,45
40,11
165,25
33,30
121,87
103,1
9,73
46,49
146,37
93,50
60,80
120,15
66,79
43,54
171,89
123,53
30,71
48,16
14,48
80,30
29,26
71,65
127,71
45,71
121,75
58,58
18,68
70,74
103,74
32,13
136,84
176,31
140,64
157,18
111,4
129,69
102,62
22,72
58,7
52,37
24,54
108,10
60,73
61,42
126,47
143,19
163,28
40,87
174,52
67,36
9,8
170,75
33,75
25,6
36,7
19,75
0,61
94,47
148,38
119,65
75,4
128,86
31,80
12,71
15,16
160,39
154,82
128,8
66,3
165,55
87,85
81,2
162,17
61,38
83,49
104,31
164,69
177,84
77,55
64,27
89,24
46,3
116,59
15,40
43,17
40,57
138,41
84,51
97,82
165,43
33,54
4,6
127,59
133,39
98,55
111,76
4,77
67,76
103,35
19,48
101,88
58,3
93,71
7,15
143,16
168,50
74,74
54,27
129,0
100,41
109,16
1,23
85,44
41,61
141,47
173,89
167,33
46,14
52,84
163,44
83,22
56,53
23,80
135,64
132,19
145,82
74,22
44,73
101,75
120,79
164,45
114,24
23,68
41,88
76,12
173,34
143,10
161,8
55,87
149,39
97,25
91,61
18,30
31,9
125,84
1,49
42,48
171,10
138,32
12,54
100,37
25,33
109,71
133,57
174,82
128,56
37,44
68,18
169,19
141,80
176,29
151,50
146,9
81,25
94,22
127,52
111,69
87,73
169,66
177,12
18,77
15,81
65,18
135,70
116,14
163,48
39,39
158,11
36,3
56,38
120,6
49,4
143,58
106,44
41,55
91,86
172,26
51,82
22,52
62,45
93,10
90,36
73,27
120,28
33,72
111,31
76,32
33,29
136,46
19,33
34,79
175,43
156,19
141,59
126,61
25,88
155,21
41,25
134,8
44,0
80,32
9,48
167,59
178,62
47,62
161,15
20,83
52,5
49,67
30,38
50,1
29,3
38,22
50,29
130,31
175,22
87,34
69,83
106,29
115,50
42,8
176,15
176,18
123,80
78,36
28,25
8,67
141,60
20,7
78,55
63,57
46,30
59,17
165,20
50,27
128,42
72,40
8,54
155,55
83,46
10,81
7,31
1,83
137,82
29,5
165,80
29,12
177,73
6,22
28,33
47,29
74,23
96,68
124,69
179,47
62,82
50,46
117,27
103,21
12,43
71,89
6,47
121,47
116,16
42,53
76,21
92,20
95,15
150,37
2,36
54,37
30,25
116,62
41,68
150,68
99,18
152,4
6,39
124,63
43,45
134,61
32,7
61,27
145,42
86,88
117,59
128,11
106,23
151,40
174,89
148,39
1,89
68,29
103,87
109,43
63,8
6,19
138,15
114,18
44,82
5,71
125,49
133,19
66,27
68,64
30,42
95,16
170,54
156,4
56,52
112,33
153,74
87,3
118,28
129,46
168,56
60,82
100,9
56,55
16,30
97,41
108,73
111,34
71,43
94,24
31,33
118,39
114,51
82,60
118,6
178,64
50,5
141,24
12,68
163,78
21,70
74,73
177,57
27,68
105,60
10,40
108,3
106,85
122,13
24,46
141,66
108,46
111,1
48,10
5,38
45,49
126,38
148,32
137,34
107,60
105,66
98,31
142,11
94,71
23,46
165,76
43,68
170,78
83,34
141,26
126,24
68,73
45,23
159,75
30,80
170,49
161,38
2,76
63,13
74,88
78,63
97,57
128,73
137,42
123,24
165,74
21,27
141,61
49,81
28,38
95,50
86,0
52,65
169,14
157,11
41,28
142,24
155,36
96,31
68,36
35,4
44,57
160,12
151,71
11,48
121,25
59,73
77,69
52,70
74,58
175,47
13,72
45,35
140,22
24,56
29,76
136,86
78,41
88,7
156,41
105,44
56,60
157,34
167,46
154,41
48,49
145,29
125,45
108,26
97,84
1,13
168,26
66,69
173,78
157,80
138,33
43,74
117,79
53,53
34,58
59,47
169,49
40,54
66,70
164,87
73,38
158,37
43,62
146,13
36,64
90,53
70,48
169,57
25,69
130,24
166,54
92,30
10,1
145,17
66,9
96,17
120,65
158,36
168,84
17,86
178,23
79,17
113,64
63,87
146,33
32,38
135,22
16,39
88,5
82,50
166,71
147,13
93,81
114,11
164,20
75,66
89,83
25,39
82,58
148,79
27,73
162,10
130,39
71,21
62,39
141,36
42,56
162,76
76,56
134,85
125,44
161,10
68,32
171,60
126,51
136,89
153,37
120,72
73,16
161,12
99,61
173,69
79,10
38,74
124,87
17,27
52,3
38,44
39,80
131,87
114,27
59,14
26,47
87,30
66,62
72,5
10,44
49,70
125,12
38,38
105,50
56,74
138,11
139,0
64,18
120,9
70,72
120,39
129,81
22,57
112,46
139,67
1,52
34,55
109,32
172,21
97,14
102,77
127,8
73,70
96,47
97,73
155,30
179,42
34,69
176,81
145,64
85,76
87,47
24,63
175,5
80,82
146,31
90,56
127,18
56,17
9,80
32,58
22,40
32,57
95,18
55,21
20,9
179,30
151,43
60,86
110,2
101,1
8,76
49,48
174,12
7,68
126,5
95,11
95,13
116,24
10,77
87,80
82,59
164,4
0,89
154,21
15,58
137,75
60,18
155,67
40,45
113,83
45,42
18,79
149,42
26,27
139,50
123,42
74,5
87,35
1,74
47,28
137,83
62,29
164,52
76,51
26,23
122,63
92,6
31,18
133,24
96,3
96,85
7,65
178,26
165,1
136,88
5,34
29,15
62,48
16,50
137,63
32,88
169,61
5,1
50,8
109,14
96,45
108,39
97,68
149,0
76,24
166,46
9,35
105,77
53,0
111,40
45,15
70,85
89,85
100,3
129,4
37,3
52,67
85,14
88,61
140,18
174,14
146,30
152,3
33,67
167,31
103,17
109,82
156,83
158,40
47,73
173,73
102,71
176,3
97,28
162,29
96,64
24,85
93,45
103,25
18,60
165,10
63,12
16,31
124,13
86,28
85,59
179,19
112,63
6,72
164,29
104,69
13,36
136,57
28,80
64,50
131,7
17,26
119,52
82,41
160,73
82,23
142,89
93,63
79,45
73,67
41,75
170,53
130,79
166,30
33,26
26,70
24,27
167,70
139,6
124,44
86,44
152,14
125,52
123,86
130,81
34,27
83,64
34,75
138,24
64,73
6,38
64,79
18,25
88,26
83,30
60,48
170,61
91,28
128,53
18,48
156,21
142,55
130,47
98,9
17,53
173,70
5,28
143,82
82,42
59,36
166,58
109,11
98,28
63,45
80,51
82,9
90,86
47,31
36,9
0,68
2,63
45,46
179,76
175,48
92,72
44,87
13,13
92,10
17,33
86,83
20,78
126,16
143,60
17,18
87,46
149,21
66,7
17,64
116,73
0,63
22,4
24,16
92,38
12,41
100,47
68,60
10,47
144,82
47,13
1,43
13,53
75,3
170,11
134,13
146,16
178,78
38,52
177,33
119,35
84,70
65,6
73,61
97,50
88,60
79,77
66,42
155,81
38,86
87,86
48,22
179,78
145,46
13,8
69,32
179,1
41,73
58,66
127,10
68,84
178,8
101,11
169,26
30,78
170,34
58,55
171,33
66,84
150,18
126,56
5,17
114,31
111,18
151,27
79,61
42,88
9,71
163,74
46,33
129,18
74,87
68,39
138,10
43,20
107,30
62,15
76,75
162,54
97,35
49,13
87,40
162,50
60,39
115,57
46,16
25,57
25,55
42,47
101,55
64,19
176,1
176,6
59,62
174,48
131,2
81,26
125,20
2,67
24,3
113,21
133,88
61,36
173,36
142,58
64,86
90,6
94,76
31,73
74,51
80,83
40,60
115,67
59,76
142,1
40,69
157,9
44,37
151,80
2,20
139,15
134,78
29,80
113,70
50,36
137,85
123,61
146,22
16,22
179,58
9,9
111,83
7,67
43,10
75,50
15,8
76,83
127,25
153,46
127,61
162,28
2,77
149,6
0,19
73,11
55,6
40,65
1,47
170,29
41,23
136,16
98,79
132,2
143,52
28,74
9,3
157,19
158,81
133,68
21,64
163,73
27,88
155,54
2,51
154,59
135,19
31,6
30,35
101,16
13,47
95,52
64,80
3,21
19,83
75,7
67,32
55,20
11,8
101,39
11,84
21,43
28,36
63,60
75,87
151,53
142,86
80,65
96,60
179,62
168,20
131,22
24,12
158,84
79,36
87,5
79,7
35,33
143,33
121,28
125,83
165,23
31,28
30,83
44,75
151,16
105,13
90,60
42,57
151,44
76,52
131,14
38,81
57,40
57,17
161,16
34,70
128,69
23,39
63,30
177,61
116,57
122,4
140,43
90,81
24,72
137,55
96,46
112,25
162,34
164,51
70,14
126,3
104,56
144,18
44,27
72,57
19,47
168,71
174,84
37,4
95,66
28,61
6,4
156,39
75,52
61,46
56,83
49,62
104,2
111,61
150,8
156,12
29,48
174,38
88,9
9,41
38,62
99,19
113,23
15,42
150,50
126,89
64,7
84,73
22,30
56,32
58,71
70,58
141,53
102,42
167,75
152,86
59,11
21,48
9,86
157,66
102,44
177,53
82,12
12,17
3,51
146,5
7,8
131,82
6,80
93,67
131,21
137,41
128,82
42,85
174,35
115,13
11,41
166,11
77,89
112,35
158,39
55,25
88,0
152,42
48,43
83,33
19,87
152,68
154,1
171,74
81,13
135,17
168,36
116,41
146,43
129,84
94,84
45,85
155,1
110,76
121,11
55,55
91,13
144,48
38,25
35,28
20,36
13,83
158,58
16,49
4,22
119,1
50,42
49,8
62,67
110,48
113,81
31,52
85,40
147,5
143,89
98,61
14,0
75,60
65,65
60,31
89,40
28,1
51,7
159,70
56,27
158,41
80,79
105,78
115,76
108,60
69,27
44,61
8,14
179,44
169,46
136,83
2,29
5,8
163,19
43,35
16,56
114,36
157,73
156,67
61,26
36,43
165,60
33,69
166,19
96,74
161,3
114,48
22,38
88,65
41,32
24,9
93,8
168,81
109,27
38,83
91,37
77,68
11,75
35,54
111,30
153,9
56,69
172,70
84,23
130,0
134,10
66,80
179,32
175,19
97,37
90,23
20,42
106,45
97,53
148,59
135,55
117,77
76,76
120,2
62,7
15,19
172,67
23,28
16,1
55,3
142,46
109,83
67,62
20,43
112,55
150,63
145,62
46,56
59,63
26,36
150,66
13,40
12,20
104,14
110,59
124,27
17,59
63,6
60,47
160,65
143,41
3,52
147,51
76,57
150,54
37,32
153,25
23,70
121,57
35,36
88,78
107,39
54,67
147,12
118,46
112,62
115,56
140,27
131,89
50,79
161,49
73,84
28,67
98,62
134,50
64,58
169,1
152,84
10,62
163,35
32,37
129,28
36,12
63,88
147,80
128,47
4,60
31,16
131,31
38,2
105,47
144,52
156,34
55,26
91,49
45,74
65,17
53,31
12,13
69,6
70,59
82,66
83,82
173,72
124,82
93,73
30,36
112,2
82,18
92,74
66,35
51,63
108,78
67,57
148,78
54,51
47,64
126,52
72,55
128,20
15,79
33,62
6,42
145,52
26,30
111,50
50,65
101,40
52,40
62,58
90,64
94,9
72,37
69,71
13,75
158,13
60,38
89,46
92,47
26,79
42,19
76,59
64,52
9,55
143,34
131,15
86,43
82,69
124,11
164,82
160,50
93,36
90,27
110,0
118,50
42,79
1,9
124,67
76,64
21,74
103,58
30,6
73,7
14,61
172,1
96,20
35,40
108,12
84,56
147,8
52,63
13,52
66,5
50,24
154,45
141,62
135,62
83,79
168,62
90,87
25,8
23,17
78,34
16,11
76,45
140,44
142,53
120,29
7,21
70,69
117,89
129,62
122,78
138,46
172,39
10,82
37,61
39,7
144,88
154,11
149,5
13,10
117,73
148,65
12,72
47,63
34,45
51,47
150,17
83,2
20,13
106,53
140,78
127,44
29,65
135,67
25,2
11,78
103,66
106,78
80,80
13,42
44,50
12,4
134,81
27,44
34,35
150,62
122,0
92,59
99,3
179,46
154,75
32,89
132,74
115,58
38,56
149,10
156,61
40,17
136,43
125,17
95,64
100,77
14,15
120,54
171,31
50,2
113,51
19,43
95,61
50,73
68,40
58,24
138,20
13,59
115,14
132,49
62,83
0,71
130,12
153,87
61,84
171,62
111,65
175,29
111,32
48,61
39,20
130,38
60,65
74,42
0,60
164,67
88,64
60,62
77,76
89,44
77,41
92,26
9,27
118,55
78,69
76,73
83,16
1,82
127,49
78,37
68,80
179,10
70,16
168,30
141,10
155,31
58,9
25,61
7,33
155,62
20,87
176,28
112,21
19,35
86,75
85,36
59,67
72,29
150,67
168,7
111,5
170,83
99,80
74,86
156,23
158,29
148,25
127,87
110,56
125,37
135,46
75,81
179,79
40,6
179,88
122,19
68,44
15,22
132,6
173,21
21,87
110,25
49,15
11,67
147,52
73,85
1,81
5,10
95,10
96,82
158,15
0,55
32,4
95,69
28,57
107,32
83,6
77,60
154,66
144,15
37,17
29,61
46,41
97,74
145,81
110,77
23,11
51,59
30,21
61,52
165,42
62,41
132,23
167,18
58,80
176,26
26,59
116,31
48,35
72,89
157,76
127,50
80,38
171,43
82,3
79,39
27,11
138,80
114,13
32,10
63,59
29,44
39,69
35,74
93,46
28,7
63,42
45,62
110,12
97,71
149,7
100,20
111,79
141,14
141,78
161,52
40,20
135,86
86,36
51,23
99,34
3,23
17,29
141,23
43,42
23,63
46,75
15,21
129,15
48,87
52,60
119,78
156,73
129,7
73,23
147,17
61,2
168,42
86,4
54,19
110,82
76,35
42,66
42,5
167,8
20,37
18,59
7,32
149,18
89,59
80,77
75,55
81,83
159,67
65,40
36,71
102,70
171,35
144,27
50,33
85,52
63,74
77,28
122,43
67,46
175,42
135,50
167,51
132,26
22,56
26,44
99,54
114,35
132,72
88,42
58,11
12,64
39,72
17,31
50,74
10,63
65,30
54,13
137,30
152,83
5,63
135,32
158,51
157,69
15,83
89,23
129,59
36,16
69,10
70,9
85,28
46,89
96,28
54,26
62,38
45,50
80,52
174,83
179,56
140,41
169,37
149,24
145,55
122,36
132,63
58,42
74,89
157,15
161,68
31,27
23,81
67,17
25,42
27,33
73,22
153,67
55,46
175,17
118,27
107,23
15,87
80,29
46,17
57,43
178,32
81,8
168,59
103,16
16,65
126,12
102,84
166,4
114,2
20,56
77,58
39,30
152,66
7,0
151,21
69,52
6,32
70,75
149,23
23,0
165,21
160,23
157,17
49,57
102,10
82,4
103,3
120,58
72,25
102,28
99,69
159,37
123,22
6,65
139,23
80,22
26,74
159,43
